P,m
14.38160,14.746
1.02945,18.310
9.44995,14.800
1.37251,17.463
1.22233,17.855
1.34096,17.565
1.41458,17.703
1.38818,17.989
1.22545,17.798
8.49466,15.153
1.12895,18.079
1.42301,17.688
36.93460,13.865
1.26919,17.639
2.10287,17.122
2.13118,17.168
2.11317,17.226
1.36891,17.863
1.21625,17.852
3.48910,16.450
17.93840,14.124
1.26530,17.649
1.21624,17.850
1.27438,17.979
1.47203,17.364
1.65263,17.060
1.88309,17.331
28.44010,14.062
10.33330,14.917
3.76261,16.739
1.73097,17.019
17.46250,14.720
10.28820,15.299
2.23258,17.154
2.24815,16.534
2.01782,17.193
13.47880,14.779
3.16803,16.714
1.91339,17.446
1.62155,17.146
1.47941,17.627
4.91551,15.878
13.09560,14.729
2.30616,16.803
1.47401,17.826
1.63027,17.491
1.46178,17.774
1.46662,17.612
1.52691,17.322
0.98237,18.441
12.41300,15.057
4.38857,16.376
2.02482,17.136
16.73880,14.505
10.68250,15.128
2.47456,16.693
2.40537,17.172
2.31577,16.960
1.45565,17.526
8.84122,15.475
1.30514,17.830
1.68509,17.516
3.16520,16.529
1.81207,17.473
2.16630,16.883
1.99880,16.793
1.45820,17.770
1.27595,17.740
1.47753,17.430
1.65175,17.645
1.39003,17.546
2.06634,17.390
1.72017,17.672
2.74747,16.411
1.56609,17.512
1.75429,17.281
1.38054,17.554
8.39701,15.279
4.26218,16.396
1.29508,17.906
1.74621,17.710
2.31584,16.973
1.08234,18.182
6.22889,15.964
2.18975,17.224
1.85081,16.509
3.24153,16.502
2.01134,16.909
1.99087,17.334
1.73099,17.348
1.61426,17.618
1.18840,17.916
6.30786,16.015
1.51254,17.544
2.00820,17.181
1.30000,17.748
2.54151,16.847
1.65111,17.662
1.31250,18.029
1.34458,17.715
1.58771,17.260
1.75421,17.302
2.16630,17.112
1.37356,17.605
31.93090,13.750
10.71290,15.249
10.52670,15.385
14.42880,15.126
4.89677,15.896
1.93320,17.380
15.77290,15.185
2.13803,17.557
10.88290,15.253
3.90947,16.163
2.43198,16.995
1.95386,17.391
4.65421,16.076
3.26238,16.557
1.85400,17.385
1.57204,17.641
1.61079,17.625
1.60311,17.684
1.37984,17.744
13.70690,14.928
1.72305,17.153
1.61093,17.497
1.69913,17.210
1.98746,17.050
1.25641,17.691
2.40342,17.017
1.44507,17.469
2.18159,17.105
1.20545,17.813
5.79395,16.079
1.63850,17.656
2.05630,17.054
7.72160,15.566
2.45025,17.046
1.37192,17.737
1.21766,17.649
3.07164,17.181
1.33880,18.356
8.86036,15.458
2.47351,17.155
2.17576,17.278
1.48916,17.671
1.96933,17.205
1.87848,17.577
1.76733,17.496
1.55665,17.536
1.47518,17.789
1.29470,17.853
8.06115,15.178
2.02003,17.506
1.67162,17.545
1.81122,17.583
1.90993,17.061
1.98760,17.209
2.02656,16.925
1.57900,17.663
1.90354,16.699
2.14759,17.439
1.31829,17.656
1.40078,17.615
1.46884,17.733
1.57936,17.657
1.67772,17.673
1.31300,17.971
3.04334,16.814
1.61750,17.478
2.29836,16.974
1.59255,17.484
1.24404,17.915
8.67071,15.790
10.48680,15.414
9.14502,16.025
1.85910,17.319
1.58062,17.601
1.64819,17.698
1.54745,17.183
1.68551,18.145
4.51151,15.893
4.50592,16.516
4.34088,16.123
2.74444,17.050
1.43797,17.501
2.59920,17.605
1.93489,17.308
1.40272,17.448
1.21110,18.392
3.91101,16.267
1.71896,18.694
2.19605,17.672
1.24114,18.066
1.68691,17.416
3.21840,16.774
2.24357,17.010
1.86927,17.745
1.57688,17.724
1.45733,17.636
1.82522,17.096
1.73213,16.894
1.72137,17.369
1.77932,16.930
1.67881,17.008
1.42663,17.631
1.91477,16.992
1.24001,17.802
2.15394,16.794
1.61756,17.525
1.50491,17.770
8.03958,15.251
2.96573,17.037
2.12521,17.128
1.28530,17.825
8.84926,15.125
1.58978,18.747
1.20675,18.292
5.66227,15.772
1.54752,17.214
2.10623,17.417
1.71530,18.070
1.21115,18.526
3.91113,16.352
1.43799,17.614
1.84247,17.604
5.63863,16.294
2.12377,17.606
1.84709,17.194
2.26882,17.341
1.68695,17.422
1.70312,17.677
1.26986,18.364
2.24353,17.082
2.45921,16.886
1.71492,17.596
1.72930,17.350
1.89660,17.481
1.57688,17.791
1.82144,17.439
1.92764,17.263
2.29921,15.977
1.56414,17.309
2.07505,16.869
0.96536,17.936
3.56974,16.372
1.63449,17.246
1.91467,17.184
1.26389,17.822
1.86388,17.174
1.15454,17.892
1.66794,17.456
1.86099,17.300
8.49275,15.734
1.84463,17.341
1.39474,17.714
2.07598,18.006
1.84270,18.437
1.88085,17.468
2.06415,17.003
1.65193,17.811
1.53208,17.549
8.48287,15.437
2.43852,17.034
1.55152,17.897
1.66287,18.376
4.98792,15.826
1.71558,17.101
1.28943,17.458
1.56692,17.224
1.89223,17.783
2.29429,16.973
1.74003,17.154
1.25584,18.222
6.01123,16.429
2.29777,17.419
2.12923,17.253
7.33172,16.025
1.66229,17.366
1.72263,17.780
10.44460,15.211
2.00789,17.293
1.30993,17.634
2.01000,17.249
2.17120,17.172
1.96174,17.537
1.56952,17.557
1.97035,17.068
3.28300,16.573
2.13478,17.047
2.39249,16.814
1.63591,17.411
0.95084,18.375
1.51530,17.230
1.12566,17.717
1.65696,17.469
1.03001,18.256
5.09495,16.162
3.84924,16.303
2.12686,17.085
5.82260,16.017
1.56004,18.450
2.65217,17.015
5.83268,15.780
5.37670,17.096
3.12056,17.232
1.30501,18.098
1.58568,17.576
1.38136,17.966
1.98544,17.150
1.84525,17.293
1.39074,17.953
1.74438,17.701
1.34787,17.954
7.01154,15.319
6.87783,16.289
2.13729,17.416
1.90206,17.593
1.68608,18.825
27.24790,14.202
1.94448,17.856
1.31178,18.164
1.63174,17.874
6.91866,15.864
4.43143,16.620
2.10607,16.781
1.94245,17.208
1.55968,18.365
23.96440,14.269
3.04907,16.693
3.13131,16.702
1.73090,17.553
4.28741,16.396
2.21660,17.123
1.22320,17.742
4.88494,15.999
1.43977,17.679
2.02398,17.184
1.49110,17.601
1.29139,17.799
1.91205,16.938
1.72703,17.959
2.10220,16.724
1.70213,17.337
2.02202,17.060
1.83831,17.212
1.93618,17.078
1.70359,17.159
1.77044,17.152
1.55757,17.568
3.14325,16.652
1.77195,17.363
1.76957,17.288
1.62528,17.924
1.75054,18.088
15.28350,14.784
1.81713,17.779
5.78031,19.012
14.06350,14.836
1.71607,17.306
1.50465,18.351
30.07560,13.975
11.77230,15.444
9.34163,16.131
3.90049,16.788
1.95433,17.076
1.11185,18.667
5.10662,16.613
1.31530,18.584
1.16562,18.034
6.44702,16.473
2.58495,17.183
1.73505,17.165
1.76130,17.088
1.59749,17.924
2.29675,17.865
13.65020,14.826
5.75625,15.689
2.00436,17.576
1.86602,17.334
1.63616,17.596
1.04313,19.089
4.19312,16.263
2.38587,17.226
1.43217,17.756
8.37633,15.137
1.77115,17.414
2.47951,16.585
2.03688,17.201
1.31338,17.957
1.16391,17.760
24.48080,14.691
2.64756,17.058
2.99289,16.538
3.28200,16.756
1.26217,17.569
3.69281,16.061
2.00720,17.117
1.85523,17.222
1.87919,17.265
1.28378,17.781
2.23714,17.079
1.59794,17.153
1.97326,16.968
2.03712,16.468
2.58424,16.917
1.52427,17.382
1.11763,17.491
1.60256,17.646
1.41745,17.679
2.99598,16.365
1.47482,17.376
1.70218,17.383
2.04231,17.100
1.55760,17.569
1.77047,17.291
1.90002,17.202
1.76963,17.307
2.11019,17.184
14.06640,14.876
5.40458,15.985
7.04867,15.918
1.71604,17.325
1.91675,17.554
1.96262,17.174
29.78180,13.992
10.30960,15.889
9.55275,15.395
13.29840,15.287
3.34984,16.483
1.76680,17.392
5.10670,16.610
4.96567,16.719
1.79499,18.303
1.02572,18.320
4.96998,16.546
10.03890,15.295
3.08923,16.908
1.20755,18.435
2.00440,17.572
1.96172,17.519
2.10571,17.435
3.69923,15.998
1.86305,17.425
2.13681,17.209
1.77116,17.436
2.47945,16.658
1.50233,17.358
1.51244,17.789
1.35990,17.896
5.11418,16.111
2.74964,16.810
1.59798,17.147
1.97345,16.969
3.28323,16.390
1.30747,17.418
3.42048,16.522
3.06200,16.623
1.88394,16.901
1.42756,17.394
2.05065,17.304
1.55041,18.043
1.67072,17.928
6.56651,15.465
1.48284,17.440
1.62077,17.402
1.22947,18.064
4.09208,16.400
1.43148,17.564
1.55983,17.646
1.43037,17.765
17.53030,15.151
3.82398,16.507
2.94259,16.564
1.71809,17.410
1.75974,17.500
28.78230,14.389
15.65660,14.631
16.29590,15.207
2.53219,17.088
1.28815,17.996
9.18905,15.243
2.35108,16.910
2.49263,17.794
1.78262,17.571
1.77735,17.866
1.88638,17.503
15.82010,14.832
4.84604,15.951
3.00821,17.225
3.28402,16.751
1.08808,17.945
1.59325,17.366
9.93769,15.375
9.02601,15.428
3.22500,16.459
3.83340,16.748
1.67056,17.327
3.45036,16.461
2.43376,16.787
1.82849,17.465
1.70774,17.618
3.34165,16.675
2.76991,16.707
3.44983,17.151
2.84638,16.888
1.50862,17.745
1.73978,17.332
11.19290,15.226
3.62708,16.703
2.75631,16.774
1.69618,17.672
1.39567,18.036
1.70901,17.815
1.60299,17.288
1.68154,16.987
1.63330,17.516
2.12511,17.136
1.81927,17.360
1.74484,17.092
1.20998,17.837
1.24841,17.682
1.44231,17.329
3.37289,16.217
1.48842,17.086
2.87671,16.677
6.54677,15.534
4.67236,16.264
6.87435,15.661
2.56346,16.658
2.38466,18.290
1.60516,17.525
6.48683,16.194
1.32361,17.877
4.40703,16.390
3.19057,16.569
1.99276,17.133
1.15175,18.073
1.36088,18.000
5.74893,16.363
32.00720,14.039
5.95544,16.106
5.88931,15.573
1.43704,17.946
1.46948,17.801
1.42854,17.640
5.00186,15.919
1.94635,17.038
2.64874,16.750
7.16365,16.093
1.38829,17.533
2.42296,17.413
1.29013,16.794
1.49426,17.514
27.41300,14.176
2.42351,16.958
1.68595,17.573
2.08696,17.154
3.07438,16.743
1.37002,17.792
3.75969,16.966
1.61173,17.885
1.58659,17.772
1.89756,17.642
2.10128,17.092
2.07215,17.516
2.58269,16.513
9.55967,15.017
2.40948,17.003
5.11216,15.685
4.17386,16.245
2.06289,16.681
5.08751,15.736
3.25255,16.421
1.75424,17.308
6.08491,16.079
5.11644,16.079
3.64251,16.108
1.96457,17.221
3.44273,16.763
2.38210,16.900
1.36551,17.473
1.82011,17.273
5.11904,15.951
4.82254,16.455
1.29622,17.755
1.46250,17.349
6.81805,15.488
1.55747,17.170
4.28522,16.320
2.70841,16.971
2.60858,17.352
1.62874,17.332
1.55154,17.470
1.91369,17.864
1.58000,17.499
1.13420,17.952
1.50815,17.664
15.64740,14.607
22.15000,14.387
2.30034,16.886
10.15950,15.534
9.74056,15.631
2.89942,16.830
1.90292,16.698
1.01336,17.851
5.05251,15.978
2.44446,17.085
1.96251,17.101
1.83477,17.367
1.57415,17.285
5.69300,16.205
4.88882,15.961
1.92043,16.995
1.61186,17.791
1.46495,17.775
1.76533,17.467
7.22815,15.448
5.02371,16.018
1.32182,17.849
34.68750,13.549
7.90213,15.654
4.50051,16.040
2.26353,17.373
1.89118,17.443
1.24961,18.051
1.01165,17.852
1.62348,17.727
2.23530,17.415
1.49210,17.628
2.98851,16.869
1.87959,17.312
2.49095,17.127
1.70624,17.421
2.03469,17.335
1.84788,17.048
1.73234,17.452
6.38500,15.747
1.28612,17.662
1.52056,17.877
1.36553,17.477
2.53954,16.902
2.38203,16.925
20.45470,14.568
5.62392,16.051
4.28450,16.305
1.47805,17.659
2.05376,16.804
1.88109,17.317
1.40803,17.963
12.54910,15.207
1.79707,17.464
3.15000,17.103
19.30880,13.934
4.78666,15.959
2.54817,16.680
1.59467,17.189
1.55150,17.480
1.83680,17.458
10.15660,15.502
1.37171,17.445
3.93931,16.260
1.54364,17.574
41.24430,13.785
6.66094,15.833
3.36099,16.464
1.96249,17.104
2.42166,16.843
1.97430,16.995
2.37556,16.979
16.43430,14.918
6.92119,15.570
1.92037,16.955
3.03112,16.461
3.92114,15.962
5.02388,16.061
2.58151,16.479
2.07911,17.246
34.55620,13.562
7.90391,15.627
1.33128,17.692
2.23523,17.549
1.41826,17.471
1.20254,17.687
2.98096,16.832
1.68521,16.907
1.70627,17.383
2.03474,17.321
1.72197,17.629
1.42292,17.319
1.94287,17.082
1.84790,17.070
1.58101,17.469
1.55441,17.406
1.27643,18.098
2.27455,17.035
1.49551,17.143
1.49613,17.554
1.33101,18.002
1.87459,16.997
7.35108,15.512
1.53982,17.103
1.27084,17.642
3.79004,16.644
1.91914,17.277
3.11878,16.743
1.24753,17.773
1.93680,17.462
7.67954,16.253
2.20405,17.709
6.47347,16.048
3.61844,17.072
2.03099,17.107
3.17144,16.796
1.52833,17.911
3.73729,17.080
2.57726,16.874
1.50285,17.502
1.28059,17.747
4.31906,16.112
3.19828,16.669
4.08935,16.479
1.38940,17.850
1.42706,17.775
9.88728,15.358
5.25297,15.784
4.16802,16.070
3.25186,16.594
1.84747,17.396
15.50790,14.722
2.41269,16.408
1.43820,17.435
1.33121,17.733
6.43304,15.643
5.72171,15.721
1.49391,17.638
1.77177,17.213
4.38824,15.927
2.31207,17.268
2.13571,17.331
2.33718,17.234
1.48857,18.019
1.24873,17.557
1.29084,17.938
2.36529,17.278
7.09723,15.888
2.25960,17.069
2.57091,17.044
1.45073,17.629
8.08903,15.568
1.45899,17.622
1.96033,17.297
3.79320,16.738
3.94112,16.015
1.59418,17.503
1.80005,17.745
1.58046,17.169
1.87328,17.434
4.66046,16.317
4.37258,17.147
2.76107,16.989
1.99688,17.232
14.57210,14.530
3.96797,16.143
2.70212,16.992
1.64639,17.715
4.33610,15.379
1.59823,17.408
1.66122,17.295
1.31392,17.640
7.53322,15.148
1.81140,17.428
2.26551,16.960
1.72853,17.502
8.33252,15.337
8.82951,15.375
1.93362,17.404
1.64835,17.682
2.00387,16.908
1.56663,17.745
2.32636,17.194
1.40357,16.940
2.13863,16.982
2.09717,17.063
1.61172,17.577
1.42713,17.676
1.75821,17.380
1.28003,18.032
1.60846,17.157
1.16506,18.058
6.18294,15.395
2.70732,16.814
3.74124,16.235
1.57075,17.407
4.35654,16.120
1.28786,17.984
3.05176,16.491
1.73458,17.405
1.44627,17.433
7.49727,15.574
1.65874,17.489
2.38332,17.421
1.16830,17.633
3.26655,16.376
1.84556,17.558
1.37724,17.117
1.98685,17.317
1.84298,17.617
2.76861,16.505
1.49391,17.552
1.20856,17.667
1.54471,17.338
4.58209,15.750
3.45890,16.644
1.45923,17.672
9.04933,15.017
4.18086,16.211
1.96963,17.066
2.59598,16.639
1.26547,17.694
1.97277,17.720
3.32496,16.255
6.18294,15.354
3.59802,15.945
3.74110,16.244
3.05764,16.401
1.60845,17.154
1.57076,17.400
1.53988,17.236
2.76925,16.398
1.49166,17.859
1.16510,18.047
1.40426,17.710
1.12210,17.774
32.00140,13.717
5.20076,15.587
5.25001,15.835
2.33266,16.844
1.39293,17.508
1.73612,17.465
2.54741,16.688
2.04436,17.111
11.39850,14.758
2.97419,16.822
1.41991,17.367
1.23843,17.921
2.55115,17.073
1.19187,17.493
1.50808,17.759
3.97026,16.131
1.84688,17.582
32.72630,13.944
2.76862,16.447
1.54472,17.493
1.49393,17.850
1.28059,17.466
3.01736,15.965
1.65837,17.148
1.63574,17.681
2.51777,17.092
2.02151,17.202
1.48231,17.355
2.76903,16.603
1.35362,17.745
1.41175,16.777
1.72171,17.154
1.97257,17.512
1.26550,17.667
1.07680,18.057
2.87953,15.974
4.91658,15.782
2.64733,16.908
1.18232,17.832
5.10628,16.040
2.74120,16.086
1.42899,17.518
1.40816,17.641
2.58383,16.198
3.32772,16.585
1.52826,17.321
1.26329,17.209
3.51970,16.213
1.45534,17.672
3.97238,16.189
2.33097,16.787
1.51778,17.575
1.75869,17.297
6.09280,15.868
1.96168,17.267
2.14290,17.618
1.70804,17.660
1.31739,17.947
4.66685,16.231
1.49121,17.351
1.61143,17.536
9.76207,15.263
4.25255,15.785
1.42302,17.178
1.86045,17.081
1.59513,17.420
1.73583,17.635
1.90662,17.551
5.32395,15.692
5.23377,15.616
1.38824,17.246
1.77877,17.215
1.78138,17.174
1.11511,17.867
1.18686,17.305
2.38418,16.626
1.49902,17.508
1.37955,17.790
1.42350,17.116
1.43708,17.335
1.37572,17.980
2.55837,17.019
1.32787,17.255
1.46247,17.200
5.36135,15.790
1.35534,17.538
4.67224,16.167
3.21365,16.836
2.97680,16.753
1.82033,17.145
2.39674,16.587
3.93464,15.935
1.27999,17.479
4.85771,16.223
3.63422,16.765
1.41443,17.932
1.15588,18.229
1.50538,17.321
1.63262,17.827
2.07699,17.074
1.67924,17.591
2.23460,17.428
1.49531,17.734
1.73804,17.326
1.72748,17.460
1.43404,17.840
2.00333,17.308
1.81813,17.463
3.60560,16.381
3.06827,16.704
1.27154,17.530
2.31400,16.830
3.48527,16.788
1.19347,17.896
1.53909,17.594
5.17192,15.377
3.37165,16.184
1.42564,17.771
1.94458,17.308
1.47214,17.199
1.86095,16.987
6.37184,15.926
2.14465,16.771
1.50098,17.594
1.08946,17.588
3.71822,16.257
1.51980,17.726
1.52583,17.592
3.77613,16.069
2.51220,16.846
1.14305,18.205
10.75700,15.159
2.02959,17.416
5.67861,15.867
2.32072,16.966
1.59821,17.572
1.77782,17.354
3.82554,16.151
2.24218,17.500
1.49290,17.055
1.37877,18.004
2.14460,16.801
1.77563,17.399
1.50099,17.575
1.55141,17.772
1.08948,17.578
3.71765,16.270
1.53224,17.696
4.89881,15.496
2.81299,16.762
1.60207,17.336
4.41226,15.713
4.56166,15.952
1.52599,17.638
6.06943,15.977
1.45389,17.515
1.74936,17.541
3.97394,16.080
4.76961,16.098
1.80677,17.496
4.98517,15.832
2.24219,17.500
1.49288,17.085
1.36587,17.588
2.51916,16.775
1.79638,17.385
33.04970,13.591
1.93799,16.952
12.62430,14.510
1.65693,16.863
3.55247,15.920
6.69184,15.651
1.55367,17.125
1.72672,17.117
1.34359,17.854
1.11731,17.851
3.05654,16.261
2.41448,17.094
1.32766,17.879
1.58862,17.256
7.50052,15.313
3.21415,16.448
2.66715,16.503
1.77744,17.254
1.68040,17.216
6.80999,15.710
1.88747,17.327
3.74974,16.119
1.39719,17.690
38.07370,14.004
2.10760,17.075
1.86002,17.450
14.71460,14.979
4.28936,16.145
4.87674,15.879
1.22320,17.817
7.93527,15.511
8.62738,15.623
2.33226,16.929
1.63660,17.244
3.96293,16.160
1.10687,17.793
1.40778,17.857
8.68274,15.325
2.16101,16.568
3.91436,15.856
1.47130,17.631
1.65836,17.752
8.87228,15.010
4.07921,16.141
2.91150,16.515
2.27956,17.033
2.03811,16.937
1.34622,17.694
3.86066,16.547
1.79640,17.250
3.66612,15.780
1.59551,16.956
1.09194,18.277
1.62505,17.513
1.49178,16.860
2.93450,16.829
1.22898,18.185
5.46944,15.807
1.25784,18.109
1.21368,17.760
5.45911,16.044
2.89489,16.806
2.32781,16.810
1.66759,17.347
3.62769,16.303
3.24484,16.493
3.05135,16.286
2.91825,16.718
1.48318,17.729
7.95057,14.927
2.31846,17.240
2.04237,16.875
7.75468,15.538
2.54068,16.405
1.62069,17.184
1.54028,17.282
4.29065,15.859
2.91019,16.904
3.13166,16.335
1.51590,17.883
1.46720,17.734
1.51656,17.212
2.00230,17.244
1.55718,17.287
5.37653,15.893
1.42710,17.678
1.02656,18.036
3.99975,16.008
2.78808,16.459
2.71410,16.455
2.89052,16.423
2.00804,16.904
2.32775,16.799
1.24795,17.609
2.31851,17.261
16.25430,14.549
3.16113,16.633
2.97317,16.086
2.86698,16.475
2.35859,16.910
5.74930,15.536
1.62060,17.189
1.16321,17.788
1.11511,17.946
1.38880,17.764
1.83355,17.189
1.50171,17.248
27.07650,13.928
1.91813,17.023
2.78832,16.466
1.50363,17.852
1.67208,17.069
1.55723,17.301
3.14643,16.676
1.75865,17.309
4.32175,16.422
1.88773,17.154
5.09933,16.125
1.44487,17.498
1.39003,17.643
12.93780,14.849
3.34991,15.963
1.62653,17.223
2.86115,16.510
3.72485,16.259
6.11202,15.664
2.68315,16.871
1.27580,17.436
2.17277,16.676
49.72300,13.170
1.31769,17.606
2.15601,17.201
1.62090,17.575
1.38753,17.523
1.71434,17.310
1.32289,17.439
1.45479,17.396
2.80227,16.402
2.22568,16.789
1.57715,17.310
18.11310,14.440
7.41690,15.228
1.52955,17.314
2.69427,16.806
1.77126,16.977
2.64466,16.599
3.97143,16.217
2.27794,16.980
2.90522,16.507
3.20611,16.291
3.09889,16.258
6.91151,15.421
3.59175,16.097
2.97300,16.727
17.19860,13.950
5.09339,15.890
3.35560,16.143
9.08700,14.976
5.04953,15.730
2.56627,16.410
2.67828,16.472
1.60384,17.033
5.08460,15.983
2.90524,16.522
3.09984,16.270
3.59133,16.104
1.78745,17.316
3.69837,16.207
1.54915,17.510
2.93750,16.580
2.46552,16.547
1.88271,17.232
17.21540,13.975
4.68525,15.764
2.84099,16.258
1.87676,17.105
16.69470,13.952
4.27761,15.772
1.73875,17.257
2.67833,16.490
2.56395,16.285
1.66085,17.306
3.39807,16.497
1.69318,17.131
1.84743,17.230
4.18851,16.097
1.21124,17.380
2.82543,16.566
1.52285,17.549
2.35633,17.166
5.31900,15.669
2.52425,16.327
1.61376,17.194
10.34640,15.008
6.35851,15.297
3.35208,16.107
2.89299,16.193
2.08877,16.654
4.26994,15.602
29.09540,13.574
1.47799,17.392
3.00843,16.698
1.61173,17.410
2.78695,16.405
1.32096,17.504
6.29654,15.730
1.39823,17.716
3.35455,16.407
3.19789,16.128
5.46211,15.742
2.72258,16.689
4.21319,15.870
3.50452,16.289
3.12498,16.303
3.22932,16.395
2.40357,16.552
1.31090,17.464
14.23740,15.010
1.40053,17.528
1.89877,16.886
1.50178,17.628
1.50712,17.124
4.96757,15.484
1.64219,17.311
1.25878,17.185
2.88409,16.302
2.59100,16.894
1.75604,17.506
2.26162,16.648
1.52672,17.381
1.35186,17.749
7.38993,15.578
3.09933,16.291
4.34262,15.874
2.05547,16.811
1.50181,17.627
5.24859,15.414
2.98258,16.170
1.97947,16.689
1.62951,16.877
2.79449,16.507
1.93392,16.673
1.17536,17.745
4.74242,16.195
1.22268,18.113
3.90824,16.183
1.27149,17.592
1.94280,17.040
1.65571,17.218
24.23300,13.846
2.61807,16.698
2.61339,16.389
1.21083,18.101
6.58745,15.871
2.93693,16.127
3.51574,16.500
6.11168,15.469
5.91124,15.419
1.83023,17.454
3.80244,15.924
2.30890,16.487
2.45914,16.732
1.39932,16.961
1.86317,16.461
12.57540,14.245
1.63998,17.473
3.22563,16.109
1.56745,17.357
3.04389,15.956
1.53324,17.310
30.01410,14.029
5.45954,15.878
3.20045,16.305
1.86342,16.943
3.07455,16.074
10.18320,14.363
2.77885,16.751
1.39590,17.048
1.83184,16.935
4.02759,16.292
3.71095,16.267
1.28138,17.699
2.44969,17.058
2.77764,16.470
2.87425,16.350
3.00774,16.113
9.15889,15.237
