Mereni,Datum,x,dx,y,dy
1,1992.226,0.104,0.003,-0.166,0.004
2,1994.321,0.097,0.003,-0.189,0.004
3,1995.531,0.087,0.002,-0.192,0.003
4,1996.256,0.075,0.007,-0.197,0.010
5,1996.428,0.077,0.002,-0.193,0.003
6,1997.543,0.052,0.004,-0.183,0.006
7,1998.365,0.036,0.001,-0.167,0.002
8,1999.465,0.022,0.004,-0.156,0.006
9,2000.474,-0.000,0.002,-0.103,0.003
10,2000.523,-0.013,0.003,-0.113,0.004
11,2001.502,-0.026,0.002,-0.068,0.003
12,2002.252,-0.013,0.005,0.003,0.007
13,2002.334,-0.007,0.003,0.016,0.004
14,2002.408,0.009,0.003,0.023,0.005
15,2002.575,0.032,0.002,0.016,0.003
16,2002.650,0.037,0.002,0.009,0.003
17,2003.214,0.072,0.001,-0.024,0.002
18,2003.353,0.077,0.002,-0.030,0.002
19,2003.454,0.081,0.002,-0.036,0.002